content,score
"I think Bamboo is doing something really great with their app. You can tell from the UI and prompts and, frankly, everything else that they put in thought and detail, and they've maintained it for a while. I signed up last year, made some stock investments that have yielded very significant returns (one of my stock picks in particular is still surprising me to this day). Now, I've also adopted their fixed returns option. To the Bamboo team, whatever you need to do, keep up the great work!",5
It has been good but I advise they have what app phone number that one can quickly send message to when one encounter any problem using the app and also crediting wallet should not be more than 5 minutes after payment,5
So nice and user friendly. I love this app for the management swift response and up to date info about stock business. Kudos!!!,5
It has been an amazing experience since I was told of investment opportunities on this platform. From providing guides through videos and the constant news to help make good decisions on investments.,5
so amazing... transfer/withdrawal so effective after the stipulated 2 working days.,5
"Awesome, having a great experience on this platform. Hope it gets better.",5
It has made it incredibly easy for me to save and invest despite the challenging state of the economy.,5
This is the best I discovered last year. It got me on my investment journey and I have only good things so far. I hope this continues.,5
"Easy to use, reliable and trustworthy too. Investing like a pro when I'm just a newbie.",5
Very rewarding experience with this app. its user friendly features are the best,5
Super investment app. I love the wide range of stock options available to invest in.,5
"With Bamboo investment app, you're sure of being guided accordingly for your desired target to be achieved. I have enjoyed being here to grow my assets.",5
"My experience so far has been great, and it has taught so much about the investment world.",5
One of the best of it's kind... easy and straightforward to use. Keep up the good work,5
I am loving my experience with Bamboo. the app is good and easy to invest your money in,5
"Awesome investment platform. Easy to navigate, No hassle",5
"Since I joined the platform over two years ago, their support staff have been professional in their dealings, and swift in response.",5
Excellent app. I used this app to grow my money. They have a good return on investment.,5
"Nice app, but could be better on terms of payment updates.",5
The experience with Bamboo is easy and transparent,5
Beautiful experience. I love how easy it is to navigate the app.,5
"So far, it's been great. The ease of having options to buy just from your mobile device is absolutely great. The app itself has been without an glitches since I started using it. Responses, emails etc have all been smooth, realible & efficient. Everything has worked as expected so far & I hope it continues this way. 👍🏽",5
I must say reason I fell in love with this is because of the easy navigation and quick response together with their transparent operations. One of the best platform to use for stock investment. 👍✌️,5
Easy to navigate and invest. Bamboo also has useful information to guide my investment decision. What can be better is having a functioning and available customer service.,5
"Beautiful interface and user-friendly. I recommend this app for all who are new, especially to the art of investing.",5
"Been pleasant experience using this app. It gives you access to stocks and shares beyond the shores of Nigeria. Relatively easy to understand, use and navigate. New additions keeps the investing public abreast of latest developments in the finance world. Will definitely recommend it to anyone.",5
Using bamboo is seamless and easy from deposit to withdrawal including investing. Thank you Bamboo. I also love how quickly your customer service team follows up and addresses concerns. I totally recommend 💯,5
❤️ 😍 I love the app because it's easy to navigate. But can there be a two-way authenticator for security purposes.,5
This is a very good app. I am very impressed of how quick and good in solving some problems of the online investment issues.,5
The app is good and easy to navigate. I particularly love how responsive their customer care unit is👍,5
"I just got the app and started buying some stocks, so far it's going great. My problem and question is, why does it keep crashing everytime I try to review stocks?",5
"It's been 3 years+ since I started using Bamboo and I have had a pleasantly wonderful experience all these years. If you hear me recommending Bamboo to young people, I do so with so much energy and confidence as though I were one of the stakeholders. I love Bamboo for the simplicity of it. I hope the app keeps getting better and better. Thank you to developers for such wonderful app and for helping me totally forget that Nigerian banks exist in physical locations🤣🤣🤣",5
"This is the first investment app I've used to invest in dollars. So far, I have no regrets, even though there are charges involved (as with every other investment platform). But be aware of the different dollar rates for deposits and withdrawals which are very different from the normal black market rate. I love the community they're building. And overall, it's been a good experience on the app.",5
The app is user-friendly and easy to navigate.,5
Bamboo has been a friendly app and it's easy to use and understand... Buying and selling commission percentage is good and withdrawal fee too is friendly... Kudos to Bamboo... Nice platform to invest with...,5
very good experience with easy navigation.,5
Seamless navigation through this App. It's been an awesome journey with Bamboo. I'll continue to recommend this Investment App.,5
"The app is perfect but this new version keeps crashing. Some of the features does not work. Example is the sort button. You cannot sort stocks with prices even though the option is there. Keeps on returning error. Apart from these minor issues, the app is wonderful. It's one of the best available in the country.",5
"The Bamboo app has given me a great taste of the US Stock Market. With it, I've been able to put to the test the financial intelligence I've gained from tons of materials and I'm seeing positive returns. I like the user friendly design, training section for beginners and most especially the friendly and responsive customer service. Moreso, they worked on a glitch I reported to them within a short period of time. That's pretty impressive. I'm really pleased. Big thumbs. Five stars 🤩",5
"so far so good,I should have known about this earlier,it's really easy and straightforward.",5
"Bamboo investment platform offers a user-friendly interface and diverse investment options. With its low fees and accessible entry points, it caters to both beginners and experienced investors. The platform's automation features make it easy to build a diversified portfolio. However, some users may seek more advanced tools for in-depth analysis. Overall, Bamboo stands out for its simplicity and accessibility in the world of investment platforms.",5
A great organisation which I trust cause of their level of dedication and steady improvement of their application.. Secondly I started using the app 4 years ago and till date it remains one of the best user friendly investment applications.. But I have a request for them to help us add more successful Nigeria companies shares.. But thanks to their customers service for always doing a great job,5
Deposit takes less than a minute to reflect but withdrawing takes almost forever. Its very annoying not reliable for emergency withdrawal,5
"Bamboo is easy to use I have been using it for long them it was just American and European shears but now you have Nigerians shears, other investment options to chose from and is safe.",5
"The app is excellent, but I'd like to see an improvement in the way notifications are handled. It would be more user-friendly if clicking on the notification took me to a relevant page or tab on the app that elaborates on the notification, allowing me to take appropriate action and not just disappear!",5
"Ever since I updated this App from the old version, it doesn't refresh on stock ownership again to get real time stock price anymore like the old version.",5
easy to access and easy to invest,5
I love Bamboo is an easy to use and user friendly App,5
"Introduced to me by a friend, must be my greatest last year (2021). User friendly UI, especially in dark mode, and an altogether easy to understand layout. Multiple payment options and enough guides on what to do and not do. Communication is good, although I am yet to try customer service. Good app.",5
Excellent app. I have had no issues working with Bamboo. I applaud your responsive support teams. Your recent update was great. My 2 recommendations will be ; 1. To include a feature to add personal notes to my portfolio. This will help me keep track of todo' like if to increase/reduce my position after an earnings report or specific event . 2. Please include trade/transaction history in the individual portfolio page. The general history is great but I will appreciate having a log within.,5
Exciting. Simple and very functional,5
"What I love most about Bamboo is its transparency, to see how stock are moving even before depositing in one's account. It would be great to have the feature to deposit any amount subsequently until $20 min is reached before allowing to trade —that's what held me up for not starting to invest in time. So, it will be better to be able to deposit in small amount until it accumulates to the preferred amount. It's a great app!",5
very good and easy to navigate,5
This is a very nice app for growing your stock. keep it up 👍,5
it has really simply trading for beginners,5
Easy to register and use,5
Bamboo has got the best user experience with an outstanding knowledge on what's the next suitable plan with easy understanding.,5
"The app deserves more than five stars, as it offers exceptional features and functionality. However, there is one remaining aspect that could further enhance its usability - the addition of a virtual dollar card. This virtual card would enable users to make online purchases seamlessly, expanding their options and convenience. Thank you.",5
seamless and easy to use,5
Easy inter phase for beginners and professionals also having easy deposit and withdrawals.,5
bamboo is one of the best if not the best at the moment i love this app 100%,5
Bamboo makes things easy especially for first timers. It's highly recommended for fresh users,5
"I like the new update although there's a glitch in the UI. After login in, when you try to relogin using your fingerprint, the finger print button is right next to the ""not , switch account"" action. So trying tap on the fingerprint results in the app logging the current user out most times; except you're extremely cautious.",5
"Sincerely, so far so good! It's a five star experience for me. Bamboo navigation is cool. Reponce is swift.",5
"It was amazing, though I had some challenges of funding earlier but a friend helped me out. I wish that one do invest on fix return for at least a month or two so that when you tell people about it, they can be able to invest. Some people cannot wait for 90 days when trying something new.",5
It's a great app for investing. It doesn't matter your level of experience with stick investment. The app is self explanatory and analysis are top notch. I wish there could be a notification on price increase or decrease of your favorite stock to make quick decision.,5
"The app is as sleek as they come, really fluid and easy to use. The features are clear and navigation is adequate. I particularly like that explanations to each feature is on hand once you click on the right icon. All in all it's a great app!",5
"Exceptional experience but something should be added. A function where you can set price drop and price rise notifications for the stocks in your watchlist. THAT WOULD BE THE FINAL TOUCH. apart from that, this app is pretty superb.",5
"Very good app. I don't have any complains yet. Excellent customer care services, nice UX/UI, and has a learning feature for beginners. I think it will be nice if you add more chart options and include pre-market updates.",5
"This app is truly exceptional, innovative and easy to use. For as little as 20 dollars anyone can start investing in American stocks suck as Apple, Facebook, Google and Amazon. Using this was a great decision. The user experience is great, with explanatory articles and a great fast response customer service. There are no ads and no suspicious requests.",5
"I have always wanted a way into the US stock market because I am pro-investmet and a longterm person at that. Ever since downloading the app I have learned more about the stock market and drawn up a list of 100 companies to invest in. The app is seamless, easy-to-use, and handles your investment portfolio in a hugely transparent way. I have gladly recommended the app to friends, colleagues, and family.",5
"It easy to understand, I love the way they created locate and international acc on the app, I did suggest you add more investment on the app, like binary, forex and crypto, you should think of creating a bamboo universe card,making transfers to other bamboo account. I believe this app could grow behind just an investing app to a banking app, where a lot of investment and transaction hold with strong security.",5
"I believe this message meets any of the app user. Firstly, I was thinking this app was a scam but to my surprise it wasn't. The reason why I thought it was a scam was when I wanted to withdraw money, I was stressed not knowing I haven't followed up according to the instructions giving. Not until I followed the procedure properly before it was successful. I really enjoy the app. Its an app that can be recommended when it comes to trading and stocking. You are the best.. more improvement ahead.",5
"I'm not used to sacrificing my precious time to offer reviews, but in the case of Bamboo👌-- I couldn't hold back. From my experience, bamboo outperforms other trading platforms in so many ways. In addition, when it comes to my Money, Credibility and Speed are my major concern-- and Bamboo does it best!",5
"Brilliant! Brilliant! Brilliant! Bamboo is fantastic. I can buy stocks of global brands from the convenience of my smart phone with my Naira account and I don't need to have a lot of money to invest. I can invest with even just N1,000. Bamboo makes it very very easy to decide on an investment, with historical share price and performance ratios, analyst opinion, and latest news on a stock. Look & layout is amazing, intuitively amazing. Customer service very responsive. Well done! Take my money!",5
"Took a while to understand the app, had it for months but didn't use it cz I just didn't get it 😔, till my friend explained how, it works to me few month ago. Better late than never, yeah? 😉... -IMPROVEMENTS The stocks should be arranged in such a way that going back and forth isn't tiring... It'd be nice to add something like ""search history"" Please ""Dark mode"" option. I",5
"Easy & simple to use. A great investment app for investment in the US stocks. I really like their quick response to queries, execution of transactions & stock confirmation statements. Another great feature is the educational resource they provide on the US capital market. Great for beginners & experts alike.",5
"Smooth, easy to use, great charts, fast updates. Overall, awesome user experience!!! Recommendation: please develop a price alert feature that notifies the investor when a certain set price being monitored is reached.",5
"Okay, apart from the fact that my first deposit took about 3 days to reflect on my dash board, I reached out to the customer service and they responded quickly and everything was sorted out. My second deposit was really fast and instant. Buying stocks on the app is so easy. I also love the analysis. I can gladly recommend this app to my friends. ☺️",5
This is a very good investment platform. I am still learning the process of using bamboo though. The UI is very friendly and easy to navigate. Lessons are customised and easy to access on YouTube. I recommend this app to those who are ready to grow financially and buy shares from different companies.,5
"For one thing, the Bamboo app is easy to navigate. Customer service, on point! Talk about beautiful in-app designs. The stock market news updates very good. Then their blog, educative. I like the way the different stocks are classified, otherwise called 'themes'. I know they have it in plan to feature Nigerian stocks...this in itself is good. I just hope the NSE would be profitable to investors.",5
great platform for investing. I really like it especially because you can invest fractionally. I really wish it would automatically signed out of the account anytime I close the app though. but apart from that ......💪💪💪,5
"I must appreciate the team for bringing this idea to life with such an amazing UI. At the moment, everything is just fine. Simple and detailed, fast execution and seamless investing. I recommend to anyone looking forward to long term investing.",5
"BAMBOO has really been helpful to me. The app is easy to use and they offer courses that take you from zero knowledge about investing to an informed investor. Every decision you make on the app is not out of blindness you are informed. I took the course and now I don't take any decision both on the app or other investment without applying everything learnt in the course. The good thing is, it's completely free. Imagine gaining knowledge on money for free.",5
"The experience so far has been great. The only thing that needs to be looked into is that after a deposit, the error message can be removed and I am glad we can get a receipt after making a deposit in case of any issue. So just remove the error message so it will not cause any doubt. Great app. 5 Stars.",5
I love the fact that you already helped sort out the ones that are based on Halal principles. Not to talk of the person that responded to my questions in simple terms with examples. Or the tutorials suggestions on the company on buy or hold or sell and many more. More power to your elbows. You guys are the best.,5
"I think Bamboo is doing something great at Bamboo. Taking the Bamboo Stock Market Course has been a game changer for my investment journey. The course was well organized and packed with valuable insights that demoted the stock market for me. The instructors are knowledgeable. I now feel more confident in my investment decisions and have seen tangible improvements in my portfolio. Overall, this course is an invaluable resource for anyone looking to deepen their understanding of investing.",5
"I hardly ever rate apps. However, I'd be doing many people a great disservice if I don't communicate what excellent service has been rendered via this app. The Bamboo app is an app I greatly recommend to anyone who's interested in investing in stocks, especially here in Nigeria.",5
"I'm a beginner and so far, this is the first app I'm using to trade. I not only find it easy but the support team has always been there to answer all my questions. I think I'm really making a lot of mistakes now though as a beginner but the bamboo support team makes whole process fun. All thanks to the bamboos upport team",5
"The app is okay, and user friendly. Very helpful with quality of information made available on the platform. Though, being a new investor on the app comes with its own challenges getting used to the system, but with BambooTeam timely responses to questions I'll get through with time. #sure.",5
"This app is great. I use various investment apps, but this one is nice and legit with good customer service, but pls the app shuts down whenever I try depositing and therefore hindering me from putting in any of my money for investment. Only about twice I've succeeded in getting through. NOTE: Most people might not invest into this app because of this problem",5
"I am happy that I have found the most dependable and reliable financial app to invest. I, personally neither being Bamboo staff nor it's relation it was after was tested with my just $2 token being deposited for number of month in it's wallet were not tampered. Thereby,I give them 99% recomendation",5
"The Bamboo app is a user friendly app that allows users navigate through the app with ease. I am especially impressed with quality of information that is provided on the app. I am new to investing in stocks, but so far, reaching the staff for advice and guidance has been easy and their responses timely and helpful. I am glad I came on board.",5
"Bamboo is just the perfect investment, stock buying platform, this is the best I've used and has a very friendly UI, so even when you're new to the app you can find your way around it. Bamboo please why are you guys like this nah, I want to purchase Nigeria stocks and I can't because the purchasing price is from 5000 NGN. Please I'm a student, can you guys make it flexible for everyone.Abeg.",5
"Absolutely love the app! Everything seems to be designed to meet my needs. Very user friendly and intuitive. The only downside is the commission charged for every purchase and sale of stock. It should be reduced if possible. Overall, great app. I recommend.",5
"Intelligent Computing Introduction to Investment - As can be expected with anything that is built on the platform of computing, it serves as a means of getting into investment, particularly in American stocks which seem to be held to a higher level of compliance and transparency with regards to the performance and operations of the listed stocks. I feel more comfortable with them. Great way for someone who has no previous knowledge in stocks to get started.",5
Using Bamboo has been such a great experience. I have been using the app for a while now and it has been a smooth ride. Their insightful stock market course was a part of the foundation for my journey into investing in the US stock market. Looking forward to seeing new investment opportunities on Bamboo in the future.,5
"Best arbitrage platform, their exchange rates are competing with black market rates in my country which is simply amazing to say the least. The investment part of this platform is magnificent if you know what you're doing. The app is easy to use, transactions are quick and secure !.",5
A good App for local and international investment,5
Hastle free and Great user- interface.,5
"Easy to understand, easy to use. love the UI too",5
It is very beginner friendly and has the needed resources to start buying stocks. Updates 1. It got better with the stock information via newsletter 2. 2023 - it now has local wallet and brokerage wallet which I think is pretty cool and easy swap. Well done team,5
"Distinctly professional and efficient. My experience using this app, has been awesome.",5
Secure. Easy to understand and smooth to use. Definitely worth a 5-star. I like the security measures put in place to ensure your money can only be accesses by you. Also the analysis on each stock is really quite helpful in making decisions.,5
"Am new on this platform but so far you guys are good, please you guys should come up with other investment package",5
Great. Lots of options especially on the us side,5
"The app is very realiable and offers the best access to the US stock exchange. It is also easy to navigate and engage with, while a great clue about each stock could be gleaned from the news column, instantly combining both the function of stock interface and insight. It is the best US stock app for us here in Nigeria. Once the Nigerian stocks are added, none would rival it",5
"This is among the best! Everything is legit, withdrawal is very fast The app is to be trusted! When you invest, it keeps running as you want, Not scam, you can receive payment if any currency, user friendly, I recommend it to everyone, once you provide your details, they will help you in every aspect you are interested in, good customer service, Everything about you is protected, this is the type of app play store should be allowing here, if you are yet to download yours, do it it right now....",5
"I love the interface and simplicity of the app. I've enjoyed using the app. It'd be nice if cash settlements and withdrawals to bank accounts can be achieved within minutes or at most hours within one day. Also, a working web access would be nice too.",5
"My experience owesome with this application. Am curious to know if i can invest for a long term and how secure my funds are. For instance 10 to 20 years. I understand user finds are insured up to 500,000 USD which is great, especially for some users who wish to invest for life and never sell their position. Thank you Bamboo for bringing to us this opportunity and we pray for more growth 💹.",5
"This app is good and customer support prompt. ""I would have rated more if the app had 'PRICE ALERTS' feature to alert user to changes is certain stocks you are watching. That would be really great. Developer pls look into this. For now, Bamboo team is doing great. To rate more when we see price alerts."" Updated. You have done it. Now I rate 5 stars. But, I still have grouse with Bamboo; your commission is much compared to your contemporaries. Look into it too. Many thanks for the good job!",5
Started using Bamboo in 2019 and the experience has been amazing! Every thing is well thought out and the app is very intuitive. My only wish is for the dollar withdrawal fee to cost less. 👀,5
"It's a very nice app, it does what it was built to solve for which is buying stocks. One improvement will be that the infrequent timeout error be fixed. Behind that, I think it's a very nice app.",5
I love this app. My son told me about it and I am loving using it. It is a great app,5
"Awesome experience. Just that their commission rate is high compared to other stock apps in Nigeria. Edited. With the current update on 12th of June 2021, it keeps getting better. I love the new Interface. Bigups Bamboo",5
Quick response to investments application and updates,5
I have enjoyed the bamboo app and it's worth the try ❤️,5
"It's been almost a year since I started using the app The flexibility of buying desirable choiced stocks is a great tool And lest I forget, the recent update is making me stick with the app forever Their regular updates shows how they put the interest of it's users at heart and I'm loving that I will recommend the app to anyone that's concerned about building a financial freedom",5
"The app is great working great for me now,but I think they need to work on the system a bit more and minimize the time it takes to carry out transaction like withdrawal and such,not everyone can wait for two to three business day if there is an emergency or so",5
"I have been finding it difficult getting a good investment platform to invest in over the years but since i began investing with the Bamboo app it been wonderful and am really happy to be a partner with Bamboo app and I recommend it for every young investor, even if you are inexperienced at investment, Bamboo app has a way of guilding you through your financial success. You should try it 😊",5
"Bamboo investment technology is a wonderful investment platform among their equals, their platform is users ' friendly,. Ever since I have been buying and selling shares from them, they have never for once disappointed me. They use both manual and digital gadgets to carry out their operations, they keep their customers abreast of public holidays, they are honest, trustworthy and reliable stock broker. They have supporting team that are responsive, and ready to profer solutions for you.",5
"Wow😇😇 lovely app so far,the UI is very very okay and is understandable . The buying and selling is very easy to navigate.Deposit and withdrawal omo! Is very sweet justlove everything about the app. Kudos to the customer service support love you all my bamboo family 💝💝",5
"What I like most about this app is its design simplicity, it's so user-friendly. And ultimately, it works especially for rookies in stock-trading like me. However, I'll like your rate on trading transactions to come down... I will also like to see more detailed charts to help guide trading decisions. Thank you.",5
very much good support customer service and easily respond to complain and ready to solve issues you deserve more than five 🌟,5
I think the customer care is exceptionally. So prompt and actually fixes the problem.,5
I loved the experience of the recurring purchase feature. Smooth!,5
"Its user friendly, and great for beginners and veteran investors. On the other hand, It would be good to add the price alert feature and balance out the exchange rate.",5
Good and reliable app I most say with a fantastic customer service but the only problem is when having an issues it take quite a long time before they get it fixed and the conversation time from Naira to dollar is a little bit long. But still is the best app for me very secured,5
"Excellent app for stock investment. Easy to navigate and user-friendly. Reliable app for US stocks, Nigeria stocks, fixed income in dollar, and Nigeria Treasury bills. It is a trade and withdrawal made easy app for everyone. Bamboo app connects you to your registrar. It saves you that worry and time. Bamboo is an excellent tool for every wealth builder.",5
"Just the access to the world market, very grateful",5
Awesome. easy to navigate.,5
"As for me Bamboo is the best 👌 place to growth financial freedom investment opportunity. I don't regret using Bamboo for my investment, Am i would not stop to tell people about it. Thanks.",5
so reliable easy and fun to used,5
very efficient & prompt responses,5
Perfect for investing in Nigeria and USA stocks. Good support system. No single complaint from here.,5
Nice and cool app is intuitive,5
Fast in making transactions,5
this app is easy to navigate. I recommend,5
"Fantastic app. I certainly enjoy using it - prompt execution, no delays. I only wish it is possible to check instantly, the rebalanced number of units of stocks each time there's a top up on specific stocks. App is well recommended.",5
"The reason why I tick 5 stars is that everything on this app is smooth and deposit and withdrawal is just one click and again everything on the app is arrange and the market here is very big that you can trade what on your choice there, it doesn't matter what you want to trade just come to bamboo app you get anything you want to buy and sell. My advice to whosoever come across this app is to quickly download sign up and start using it and forget going from one app to the other. Happy trading Guy",5
"This is one of the most intuitive financial App i have used. Easy to use, smooth and quick response with great interface and dozens of stocks available and easily accessible. Funding my Stock account is my best experience on this App. Accessing and withdrawal of fund is just great.",5
Very functional and interactive interface that is user friendly.,5
Easy access to US and Nigerian stocks. Easy mode of payment. The app is user-friendly.,5
"It's been an awesome experience so far. Straight forward and easy to use, and help where you need it",5
I have a wonderful experience with this app. It's easy to use and very reliable for investment,5
The user interface is good and easy to understand and I'm looking forward to making more money from my investments.,5
Having known bamboo this is just the best for you. Trusted and guarantee. Good network system.,5
I love this app because it are simply to understand and the team are very encouraging.i give them five stars,5
The payment is wow!!!. You are doing great. Please try and include Commercial Paper too. keep it up.,5
"I just created an account with Bamboo... And the features interface are very friendly! The other time, when I click Deposit! It used to say... Unfortunately, Bamboo has stopped. But now it has been fixed!! Thank you.",5
I can see a lot of improvements lately. Withdrawals are instant. Keep up the good work,5
"I love this app, It offers a wide range of investment options. Give it a try you will not regret it.",5
It's been an awesome experience. Easy navigation through the app.,5
I especially love how easy it is to navigate and track my investments,5
Awesome experience. One of the best apps for financial freedom and investment,5
The app has been apt with good results on time with good records,5
Bamboo App is excellent. It works seamlessly.,5
Very easy to use with seamless transactions.,5
"I give it 5 stars, though I having difficulties with email verification.",5
"It's reliable, easy, and convenient for stock purchase. The features of the bamboo app are swift, comprehensible, and secured. It's really a smarty innovation of some good developers. Kudos",5
It's being beautiful and I'm loving it ❤️,5
